user_id,signup_date
1,2024-06-04 00:00:00
2,2025-03-27 00:00:00
3,2025-06-18 00:00:00
4,2024-08-16 00:00:00
5,2024-11-09 00:00:00
6,2025-03-01 00:00:00
7,2024-02-16 00:00:00
8,2024-05-11 00:00:00
9,2025-04-22 00:00:00
10,2025-01-04 00:00:00
11,2025-10-06 00:00:00
12,2025-04-12 00:00:00
13,2025-10-31 00:00:00
14,2025-01-13 00:00:00
15,2024-10-18 00:00:00
16,2025-03-03 00:00:00
17,2025-09-26 00:00:00
18,2025-04-30 00:00:00
19,2024-05-01 00:00:00
20,2025-01-14 00:00:00
21,2025-04-29 00:00:00
22,2024-01-31 00:00:00
23,2024-07-09 00:00:00
24,2024-10-23 00:00:00
25,2024-02-13 00:00:00
26,2024-08-20 00:00:00
27,2025-07-09 00:00:00
28,2025-03-06 00:00:00
29,2025-07-13 00:00:00
30,2025-03-25 00:00:00
31,2024-05-07 00:00:00
32,2024-05-30 00:00:00
33,2025-03-08 00:00:00
34,2024-04-13 00:00:00
35,2024-09-20 00:00:00
36,2024-04-14 00:00:00
37,2024-10-20 00:00:00
38,2024-11-27 00:00:00
39,2025-04-22 00:00:00
40,2025-07-14 00:00:00
41,2024-06-29 00:00:00
42,2024-07-15 00:00:00
43,2025-08-31 00:00:00
44,2025-10-15 00:00:00
45,2025-08-12 00:00:00
46,2025-06-29 00:00:00
47,2024-02-29 00:00:00
48,2025-06-22 00:00:00
49,2024-01-06 00:00:00
50,2024-09-26 00:00:00
51,2024-04-01 00:00:00
52,2025-09-28 00:00:00
53,2024-11-03 00:00:00
54,2024-11-07 00:00:00
55,2024-04-01 00:00:00
56,2024-08-10 00:00:00
57,2024-06-09 00:00:00
58,2025-03-20 00:00:00
59,2024-05-15 00:00:00
60,2025-11-21 00:00:00
61,2024-01-06 00:00:00
62,2025-08-07 00:00:00
63,2024-01-04 00:00:00
64,2024-06-01 00:00:00
65,2025-03-04 00:00:00
66,2024-02-15 00:00:00
67,2024-12-19 00:00:00
68,2025-08-10 00:00:00
69,2025-02-05 00:00:00
70,2024-09-13 00:00:00
71,2025-06-24 00:00:00
72,2024-08-25 00:00:00
73,2025-11-29 00:00:00
74,2025-03-08 00:00:00
75,2024-07-08 00:00:00
76,2025-06-03 00:00:00
77,2024-07-01 00:00:00
78,2025-08-16 00:00:00
79,2024-03-02 00:00:00
80,2025-01-31 00:00:00
81,2024-02-17 00:00:00
82,2024-07-01 00:00:00
83,2024-03-19 00:00:00
84,2025-05-13 00:00:00
85,2025-06-29 00:00:00
86,2024-11-15 00:00:00
87,2025-06-20 00:00:00
88,2024-05-29 00:00:00
89,2024-06-07 00:00:00
90,2025-12-02 00:00:00
91,2024-03-29 00:00:00
92,2025-01-05 00:00:00
93,2024-07-20 00:00:00
94,2025-11-13 00:00:00
95,2025-08-10 00:00:00
96,2024-11-26 00:00:00
97,2025-01-22 00:00:00
98,2025-04-01 00:00:00
99,2025-10-04 00:00:00
100,2025-03-31 00:00:00
101,2024-05-01 00:00:00
102,2025-09-13 00:00:00
103,2025-09-06 00:00:00
104,2024-07-23 00:00:00
105,2025-09-23 00:00:00
106,2024-06-05 00:00:00
107,2025-07-27 00:00:00
108,2025-07-24 00:00:00
109,2024-01-27 00:00:00
110,2024-08-03 00:00:00
111,2024-05-19 00:00:00
112,2025-06-16 00:00:00
113,2025-03-06 00:00:00
114,2024-06-10 00:00:00
115,2024-03-21 00:00:00
116,2024-09-25 00:00:00
117,2025-04-30 00:00:00
118,2024-05-29 00:00:00
119,2025-05-11 00:00:00
120,2025-01-17 00:00:00
121,2024-10-20 00:00:00
122,2024-01-15 00:00:00
123,2024-02-06 00:00:00
124,2024-11-15 00:00:00
125,2024-09-10 00:00:00
126,2024-06-21 00:00:00
127,2024-08-27 00:00:00
128,2025-08-01 00:00:00
129,2025-03-24 00:00:00
130,2025-04-16 00:00:00
131,2025-09-28 00:00:00
132,2024-12-21 00:00:00
133,2025-11-11 00:00:00
134,2024-04-09 00:00:00
135,2024-05-14 00:00:00
136,2025-04-11 00:00:00
137,2024-04-09 00:00:00
138,2025-04-21 00:00:00
139,2025-11-25 00:00:00
140,2025-09-21 00:00:00
141,2024-02-25 00:00:00
142,2025-10-03 00:00:00
143,2025-04-12 00:00:00
144,2025-09-24 00:00:00
145,2025-10-31 00:00:00
146,2024-12-29 00:00:00
147,2025-09-21 00:00:00
148,2024-06-24 00:00:00
149,2025-04-03 00:00:00
150,2025-02-20 00:00:00
151,2024-01-17 00:00:00
152,2024-07-23 00:00:00
153,2025-04-27 00:00:00
154,2024-05-29 00:00:00
155,2025-07-20 00:00:00
156,2024-04-27 00:00:00
157,2024-04-21 00:00:00
158,2024-08-05 00:00:00
159,2025-03-29 00:00:00
160,2024-08-05 00:00:00
